customer_id,driver_age,region,tenure_years,prior_claims
C100232,47,Montreal,0.5,0
C100233,24,Toronto,1.2,0
C100234,28,Montreal,5.8,0
C100235,37,Vancouver,1.7,0
C100236,65,Toronto,11.9,0
C100237,48,Halifax,2.6,0
C100238,38,Ottawa,13.5,0
C100239,53,Vancouver,0.9,0
C100240,64,Montreal,9.8,0
C100241,42,Toronto,5.0,0
C100242,46,Vancouver,2.7,0
C100243,43,Vancouver,1.9,0
C100244,41,Halifax,11.5,1
C100245,31,Vancouver,12.4,0
C100246,31,Toronto,5.5,0
C100247,53,Toronto,6.2,1
C100248,64,Toronto,10.1,1
C100249,37,Halifax,4.1,2
C100250,37,Ottawa,2.1,0
C100251,23,Ottawa,3.2,1
C100252,22,Ottawa,0.8,1
C100253,71,Toronto,13.6,0
C100254,32,Calgary,6.8,0
C100255,90,Calgary,2.8,0
C100256,34,Toronto,5.1,0
C100257,24,Vancouver,1.0,0
C100258,43,Calgary,0.4,0
C100259,57,Halifax,4.0,2
C100260,54,Toronto,3.7,1
C100261,60,Halifax,0.5,0
C100262,29,Halifax,0.7,2
C100263,71,Halifax,1.4,0
C100264,73,Toronto,8.9,0
C100265,74,Toronto,1.0,1
C100266,46,Calgary,3.4,0
C100267,36,Montreal,7.4,1
C100268,35,Toronto,7.3,0
C100269,24,Ottawa,2.3,0
C100270,34,Toronto,2.3,0
C100271,20,Montreal,0.5,0
C100272,24,Halifax,35.0,0
C100273,46,Montreal,4.3,0
C100274,38,Halifax,8.7,0
C100275,45,Montreal,0.6,0
C100276,55,Montreal,22.5,0
C100277,49,Toronto,0.3,1
C100278,47,Montreal,0.8,0
C100279,40,Montreal,2.0,0
C100280,32,Ottawa,0.1,0
C100281,27,Halifax,0.6,0
C100282,34,Toronto,3.1,0
C100283,41,Toronto,1.4,0
C100284,43,Calgary,4.9,1
C100285,60,Vancouver,8.5,1
C100286,39,Montreal,0.4,0
C100287,52,Toronto,2.2,0
C100288,25,Toronto,5.2,1
C100289,46,Vancouver,5.1,0
C100290,45,Toronto,8.7,0
C100291,71,Calgary,0.5,0
C100292,38,Montreal,7.5,1
C100293,37,Montreal,5.6,0
C100294,55,Vancouver,8.4,0
C100295,27,Toronto,4.8,1
C100296,46,Halifax,2.7,1
C100297,27,Calgary,0.9,2
C100298,85,Ottawa,10.8,1
C100299,36,Montreal,1.4,0
C100300,27,Montreal,3.5,0
C100301,34,Toronto,2.9,0
C100302,46,Vancouver,13.5,0
C100303,51,Vancouver,16.4,0
C100304,69,Montreal,0.7,1
C100305,33,Toronto,1.0,0
C100306,56,Montreal,5.9,0
C100307,24,Toronto,2.3,0
C100308,29,Montreal,0.9,1
C100309,25,Vancouver,2.0,0
C100310,31,Halifax,1.6,0
C100311,55,Toronto,5.7,1
C100312,33,Toronto,6.2,1
C100313,35,Montreal,11.1,1
C100314,46,Toronto,2.4,1
C100315,50,Calgary,3.7,0
C100316,36,Toronto,6.5,0
C100317,29,Halifax,4.8,0
C100318,79,Ottawa,1.9,0
C100319,36,Vancouver,8.8,0
C100320,37,Halifax,3.9,1
C100321,39,Vancouver,5.4,0
C100322,53,Halifax,0.7,0
C100323,25,Montreal,10.0,1
C100324,90,Halifax,0.2,0
C100325,37,Toronto,4.1,0
C100326,53,Montreal,4.3,1
C100327,27,Halifax,3.9,0
C100328,45,Montreal,8.4,1
C100329,86,Toronto,6.9,2
C100330,80,Toronto,3.8,0
C100331,53,Toronto,1.7,0
C100332,30,Montreal,0.7,0
C100333,67,Montreal,0.4,0
C100334,24,Vancouver,3.6,0
C100335,30,Ottawa,0.4,0
C100336,41,Toronto,10.1,0
C100337,24,Ottawa,2.9,0
C100338,34,Vancouver,7.2,0
C100339,57,Calgary,18.5,0
C100340,32,Calgary,5.2,0
C100341,58,Halifax,2.4,0
C100342,90,Toronto,1.5,0
C100343,49,Vancouver,6.4,1
C100344,58,Halifax,6.9,2
C100345,68,Calgary,1.2,0
C100346,35,Toronto,0.5,1
C100347,57,Vancouver,5.9,0
C100348,35,Ottawa,1.8,3
C100349,47,Montreal,3.2,0
C100350,61,Vancouver,5.9,0
C100351,31,Ottawa,6.2,0
C100352,21,Vancouver,9.8,0
C100353,30,Toronto,19.0,0
C100354,65,Vancouver,5.2,1
C100355,29,Vancouver,2.0,0
C100356,63,Montreal,23.1,0
C100357,30,Calgary,0.9,2
C100358,38,Montreal,0.1,0
C100359,42,Ottawa,5.2,0
C100360,29,Ottawa,3.6,0
C100361,39,Ottawa,5.6,2
C100362,24,Vancouver,4.5,0
C100363,37,Toronto,0.3,0
C100364,40,Calgary,2.6,0
C100365,21,Toronto,10.9,0
C100366,30,Vancouver,1.7,0
C100367,47,Toronto,11.3,1
C100368,28,Vancouver,4.3,0
C100369,50,Calgary,2.2,0
C100370,52,Montreal,2.9,1
C100371,47,Montreal,1.6,1
C100372,57,Toronto,5.3,0
C100373,24,Montreal,2.2,1
C100374,62,Montreal,9.6,0
C100375,29,Ottawa,0.8,0
C100376,43,Halifax,5.9,0
C100377,84,Halifax,3.0,0
C100378,36,Toronto,2.8,0
C100379,42,Montreal,7.7,0
C100380,29,Montreal,0.8,0
C100381,84,Calgary,5.9,0
C100382,30,Calgary,8.5,0
C100383,54,Ottawa,4.5,0
C100384,68,Vancouver,1.2,0
C100385,56,Vancouver,5.0,0
C100386,48,Halifax,7.2,0
C100387,43,Toronto,0.5,0
C100388,27,Ottawa,1.1,0
C100389,82,Calgary,5.5,0
C100390,46,Toronto,5.1,0
C100391,42,Halifax,5.8,0
C100392,28,Ottawa,0.2,1
C100393,43,Ottawa,1.1,0
C100394,41,Toronto,12.2,0
C100395,84,Toronto,1.7,0
C100396,42,Calgary,2.4,1
C100397,43,Toronto,5.0,0
C100398,28,Toronto,6.3,0
C100399,32,Montreal,8.8,0
C100400,51,Toronto,6.2,0
C100401,23,Calgary,4.9,0
C100402,62,Vancouver,2.4,0
C100403,63,Toronto,12.5,0
C100404,31,Vancouver,1.6,0
C100405,48,Toronto,15.5,1
C100406,69,Toronto,2.3,0
C100407,40,Vancouver,8.7,0
C100408,37,Vancouver,12.2,0
C100409,39,Montreal,1.2,1
C100410,46,Vancouver,0.5,0
C100411,33,Montreal,9.1,1
C100412,36,Vancouver,3.9,1
C100413,47,Montreal,4.4,0
C100414,35,Calgary,2.7,1
C100415,28,Vancouver,1.7,1
C100416,23,Toronto,1.2,1
C100417,42,Calgary,2.0,2
C100418,67,Ottawa,10.6,2
C100419,49,Toronto,2.5,0
C100420,28,Vancouver,7.7,1
C100421,32,Ottawa,9.1,0
C100422,37,Toronto,0.7,0
C100423,86,Halifax,7.5,1
C100424,88,Montreal,0.0,1
C100425,83,Calgary,1.7,1
C100426,44,Halifax,2.4,0
C100427,90,Halifax,3.6,0
C100428,32,Vancouver,4.4,0
C100429,36,Calgary,0.8,1
C100430,60,Toronto,0.1,0
C100431,47,Montreal,1.6,0
C100432,48,Ottawa,2.5,0
C100433,29,Montreal,2.4,1
C100434,41,Ottawa,14.9,0
C100435,32,Toronto,4.7,0
C100436,26,Toronto,0.4,1
C100437,34,Toronto,2.3,0
C100438,47,Vancouver,2.9,2
C100439,56,Toronto,7.8,0
C100440,22,Montreal,4.2,0
C100441,42,Halifax,0.7,1
C100442,40,Ottawa,10.2,0
C100443,46,Ottawa,3.1,0
C100444,28,Toronto,3.5,0
C100445,28,Montreal,12.8,0
C100446,68,Calgary,0.4,1
C100447,31,Toronto,2.4,0
C100448,36,Montreal,1.1,0
C100449,37,Halifax,0.3,0
C100450,32,Toronto,3.2,0
C100451,50,Halifax,17.2,0
C100452,49,Toronto,3.8,0
C100453,40,Toronto,14.5,0
C100454,33,Toronto,2.4,0
C100455,38,Halifax,5.4,0
C100456,43,Vancouver,2.2,2
C100457,32,Calgary,12.6,0
C100458,52,Montreal,7.5,0
C100459,62,Ottawa,5.0,0
C100460,73,Vancouver,5.8,1
C100461,71,Vancouver,0.6,0
C100462,37,Calgary,1.7,0
C100463,44,Ottawa,0.5,1
C100464,39,Calgary,2.6,1
C100465,39,Toronto,3.2,0
C100466,38,Ottawa,12.5,0
C100467,42,Montreal,2.5,0
C100468,66,Halifax,2.4,0
C100469,47,Montreal,0.7,0
C100470,28,Toronto,1.9,0
C100471,61,Montreal,3.6,1
C100472,45,Vancouver,3.3,0
C100473,51,Montreal,3.5,1
C100474,47,Ottawa,0.8,1
C100475,48,Calgary,1.6,0
C100476,49,Toronto,9.5,0
C100477,23,Vancouver,1.9,0
C100478,50,Ottawa,0.1,0
C100479,32,Halifax,10.8,0
C100480,35,Montreal,1.6,2
C100481,42,Halifax,4.4,0
C100482,79,Toronto,3.7,0
C100483,29,Calgary,11.2,1
C100484,41,Ottawa,22.9,1
C100485,38,Montreal,2.8,0
C100486,60,Toronto,6.9,1
C100487,38,Calgary,5.2,0
C100488,46,Montreal,6.4,1
C100489,29,Toronto,1.9,0
C100490,65,Toronto,27.7,0
C100491,25,Ottawa,1.1,0
C100492,50,Toronto,5.6,0
C100493,46,Vancouver,1.5,0
C100494,48,Halifax,1.8,0
C100495,26,Calgary,5.4,0
C100496,37,Vancouver,0.2,0
C100497,59,Vancouver,15.6,0
C100498,84,Toronto,9.9,0
C100499,40,Montreal,7.3,1
C100500,57,Toronto,0.2,0
C100501,44,Toronto,3.5,1
C100502,41,Toronto,1.3,0
C100503,36,Vancouver,3.2,0
C100504,42,Toronto,1.9,0
C100505,54,Toronto,9.9,0
C100506,56,Ottawa,10.0,1
C100507,27,Toronto,6.0,1
C100508,35,Calgary,2.2,0
C100509,29,Montreal,5.6,1
C100510,43,Vancouver,4.6,1
C100511,37,Toronto,1.6,0
C100512,48,Toronto,1.3,0
C100513,49,Ottawa,4.6,0
C100514,21,Montreal,1.5,1
C100515,42,Toronto,3.9,1
C100516,67,Montreal,16.2,1
C100517,35,Vancouver,5.7,0
C100518,34,Toronto,3.2,0
C100519,62,Vancouver,13.3,2
C100520,57,Vancouver,8.3,1
C100521,29,Vancouver,0.3,0
C100522,55,Ottawa,0.1,0
C100523,31,Montreal,17.5,0
C100524,34,Halifax,3.0,0
C100525,29,Montreal,8.5,0
C100526,27,Montreal,0.5,0
C100527,44,Calgary,1.3,0
C100528,26,Vancouver,0.9,0
C100529,44,Toronto,3.2,0
C100530,44,Halifax,0.8,0
C100531,39,Halifax,1.5,0
C100532,35,Montreal,7.9,0
C100533,33,Vancouver,15.2,0
C100534,28,Ottawa,3.0,1
C100535,74,Halifax,2.7,0
C100536,39,Vancouver,4.6,2
C100537,38,Toronto,6.3,1
C100538,30,Calgary,1.9,0
C100539,70,Toronto,1.8,0
C100540,34,Calgary,7.5,0
C100541,46,Vancouver,3.1,1
C100542,50,Calgary,5.6,0
C100543,44,Toronto,6.4,0
C100544,26,Vancouver,0.6,1
C100545,54,Vancouver,9.7,0
C100546,33,Montreal,13.5,1
C100547,57,Toronto,2.4,0
C100548,41,Toronto,5.5,0
C100549,51,Ottawa,6.4,0
C100550,68,Montreal,7.4,0
C100551,53,Calgary,0.6,0
C100552,51,Vancouver,3.0,0
C100553,55,Ottawa,11.0,0
C100554,31,Vancouver,6.5,1
C100555,58,Toronto,0.1,0
C100556,38,Toronto,0.1,0
C100557,38,Toronto,3.9,2
C100558,43,Ottawa,3.5,1
C100559,36,Calgary,0.9,0
C100560,29,Calgary,2.5,0
C100561,42,Calgary,2.0,0
C100562,38,Ottawa,2.7,0
C100563,38,Halifax,1.2,0
C100564,40,Calgary,4.2,1
C100565,21,Toronto,8.4,1
C100566,38,Toronto,0.6,0
C100567,72,Vancouver,1.9,0
C100568,69,Ottawa,12.9,0
C100569,42,Vancouver,2.8,1
C100570,42,Montreal,1.9,1
C100571,21,Calgary,9.3,0
C100572,34,Montreal,0.5,0
C100573,55,Montreal,3.5,1
C100574,36,Ottawa,11.2,0
C100575,63,Vancouver,2.3,0
C100576,61,Montreal,1.7,0
C100577,34,Montreal,1.9,0
C100578,44,Vancouver,1.9,1
C100579,75,Montreal,1.5,0
C100580,25,Toronto,15.6,0
C100581,36,Vancouver,1.5,0
C100582,25,Calgary,3.3,1
C100583,30,Toronto,7.3,1
C100584,85,Vancouver,1.5,1
C100585,36,Vancouver,7.1,1
C100586,22,Montreal,11.7,0
C100587,29,Montreal,3.0,0
C100588,24,Montreal,5.6,0
C100589,44,Montreal,5.7,1
C100590,49,Ottawa,3.5,1
C100591,59,Montreal,1.2,0
C100592,54,Halifax,18.8,0
C100593,26,Montreal,1.5,0
C100594,48,Calgary,4.3,0
C100595,40,Vancouver,6.1,1
C100596,62,Ottawa,2.8,0
C100597,56,Halifax,4.7,0
C100598,90,Vancouver,4.3,0
C100599,30,Vancouver,2.1,1
C100600,28,Halifax,1.7,0
C100601,35,Halifax,0.5,0
C100602,40,Halifax,8.3,0
C100603,32,Toronto,19.0,0
C100604,30,Toronto,5.5,0
C100605,47,Montreal,7.5,1
C100606,35,Calgary,4.9,1
C100607,32,Toronto,3.2,2
C100608,26,Montreal,3.4,0
C100609,21,Vancouver,0.4,0
C100610,70,Toronto,5.7,0
C100611,69,Calgary,1.7,0
C100612,57,Toronto,9.4,0
C100613,51,Ottawa,4.2,1
C100614,34,Montreal,1.5,0
C100615,52,Vancouver,1.5,0
C100616,28,Vancouver,0.4,0
C100617,43,Montreal,5.0,0
C100618,31,Montreal,2.3,0
C100619,52,Ottawa,0.2,0
C100620,77,Vancouver,0.3,1
C100621,29,Toronto,4.6,1
C100622,34,Calgary,3.0,0
C100623,43,Toronto,1.8,2
C100624,23,Vancouver,1.0,0
C100625,24,Montreal,3.3,0
C100626,76,Vancouver,2.4,0
C100627,47,Toronto,1.8,0
C100628,33,Montreal,0.7,0
C100629,41,Toronto,11.1,0
C100630,35,Montreal,13.4,2
C100631,43,Vancouver,2.9,0
C100632,35,Calgary,3.7,0
C100633,40,Toronto,3.4,0
C100634,54,Toronto,4.7,0
C100635,53,Calgary,0.2,1
C100636,74,Vancouver,11.4,0
C100637,48,Ottawa,5.8,1
C100638,42,Toronto,2.9,2
C100639,79,Toronto,2.9,0
C100640,38,Montreal,1.5,0
C100641,21,Vancouver,2.5,0
C100642,57,Vancouver,7.3,1
C100643,46,Toronto,3.7,2
C100644,41,Toronto,1.1,0
C100645,58,Calgary,6.3,0
C100646,35,Montreal,12.3,0
C100647,21,Calgary,0.1,0
C100648,58,Montreal,0.2,0
C100649,33,Montreal,9.8,0
C100650,29,Toronto,1.5,0
C100651,22,Halifax,3.6,0
C100652,56,Toronto,4.3,0
C100653,20,Toronto,2.7,0
C100654,68,Ottawa,4.5,0
C100655,37,Toronto,1.9,0
C100656,57,Montreal,11.0,0
C100657,49,Montreal,0.6,0
C100658,86,Calgary,4.0,0
C100659,48,Montreal,6.1,0
C100660,67,Ottawa,3.8,0
C100661,34,Calgary,2.5,0
C100662,24,Vancouver,3.0,0
C100663,61,Toronto,1.0,1
C100664,24,Ottawa,2.6,0
C100665,56,Ottawa,3.5,2
C100666,28,Ottawa,12.0,0
C100667,46,Toronto,4.5,0
C100668,86,Calgary,4.4,0
C100669,54,Calgary,0.7,0
C100670,39,Halifax,14.0,2
C100671,49,Montreal,1.2,2
C100672,34,Ottawa,3.3,1
C100673,90,Calgary,1.0,0
C100674,32,Ottawa,3.4,1
C100675,40,Calgary,3.7,1
C100676,52,Ottawa,9.5,1
C100677,48,Montreal,4.5,0
C100678,50,Toronto,0.2,0
C100679,35,Montreal,0.2,1
C100680,38,Ottawa,20.2,0
C100681,60,Toronto,1.3,1
C100682,59,Vancouver,1.4,0
C100683,48,Halifax,10.5,0
C100684,70,Halifax,1.2,0
C100685,61,Calgary,0.2,1
C100686,58,Ottawa,7.5,0
C100687,24,Toronto,10.6,0
C100688,48,Vancouver,0.8,0
C100689,45,Vancouver,2.3,0
C100690,75,Ottawa,5.2,1
C100691,19,Montreal,1.8,0
C100692,39,Toronto,6.4,0
C100693,43,Calgary,2.8,0
C100694,28,Vancouver,1.5,1
C100695,30,Ottawa,4.5,0
C100696,75,Vancouver,30.2,0
C100697,50,Ottawa,4.5,0
C100698,86,Vancouver,6.2,1
C100699,39,Ottawa,0.4,0
C100700,26,Calgary,1.4,0
C100701,37,Montreal,11.2,0
C100702,35,Montreal,2.7,1
C100703,55,Halifax,1.0,1
C100704,54,Toronto,2.3,0
C100705,51,Calgary,0.2,0
C100706,90,Toronto,2.1,0
C100707,69,Calgary,8.7,0
C100708,31,Toronto,14.5,1
C100709,62,Vancouver,5.3,0
C100710,42,Vancouver,17.2,0
C100711,39,Toronto,6.3,0
C100712,72,Vancouver,1.8,0
C100713,30,Ottawa,0.3,0
C100714,60,Calgary,4.6,0
C100715,56,Halifax,10.3,1
C100716,30,Ottawa,5.8,0
C100717,24,Calgary,2.3,0
C100718,41,Vancouver,5.4,2
C100719,65,Halifax,2.5,0
C100720,48,Vancouver,2.9,1
C100721,74,Montreal,9.7,0
C100722,47,Ottawa,2.3,1
C100723,76,Halifax,2.1,0
C100724,33,Montreal,6.5,2
C100725,51,Toronto,12.0,0
C100726,36,Vancouver,1.9,0
C100727,40,Calgary,3.9,2
C100728,43,Montreal,6.7,0
C100729,48,Calgary,2.4,0
C100730,32,Vancouver,3.4,0
C100731,50,Montreal,2.7,0
C100732,42,Vancouver,3.9,0
C100733,26,Montreal,14.1,0
C100734,23,Ottawa,1.9,1
C100735,65,Toronto,8.8,1
C100736,39,Ottawa,5.6,1
C100737,25,Montreal,4.1,0
C100738,81,Halifax,14.4,0
C100739,52,Calgary,8.4,1
C100740,48,Toronto,4.2,1
C100741,31,Halifax,0.9,0
C100742,26,Vancouver,1.9,1
C100743,45,Vancouver,6.4,0
C100744,41,Halifax,4.1,0
C100745,28,Halifax,9.3,0
C100746,28,Calgary,17.6,2
C100747,28,Halifax,3.5,1
C100748,27,Montreal,9.8,1
C100749,33,Toronto,0.4,0
C100750,48,Toronto,2.2,0
C100751,51,Montreal,8.5,0
C100752,41,Vancouver,0.6,0
C100753,44,Montreal,2.5,2
C100754,52,Vancouver,4.3,1
C100755,22,Toronto,21.6,0
C100756,45,Montreal,10.8,0
C100757,70,Calgary,3.0,1
C100758,39,Toronto,3.3,1
C100759,64,Calgary,0.3,0
C100760,39,Ottawa,0.5,0
C100761,53,Vancouver,19.3,0
C100762,47,Halifax,1.1,1
C100763,28,Halifax,6.8,0
C100764,29,Toronto,0.7,1
C100765,76,Calgary,1.0,1
C100766,58,Toronto,1.1,1
C100767,40,Montreal,1.0,2
C100768,38,Vancouver,1.1,1
C100769,31,Calgary,2.7,1
C100770,49,Ottawa,11.7,0
C100771,32,Calgary,1.8,0
C100772,36,Ottawa,1.9,1
C100773,33,Vancouver,1.1,0
C100774,57,Toronto,5.0,0
C100775,40,Toronto,6.0,1
C100776,44,Vancouver,10.2,0
C100777,28,Calgary,9.6,0
C100778,33,Toronto,11.5,1
C100779,45,Montreal,0.2,1
C100780,24,Toronto,8.8,0
C100781,38,Vancouver,0.2,0
C100782,42,Montreal,0.6,0
C100783,27,Toronto,4.9,0
C100784,63,Toronto,1.1,0
C100785,48,Montreal,1.7,2
C100786,39,Vancouver,8.2,0
C100787,32,Halifax,21.1,1
C100788,24,Toronto,0.4,0
C100789,61,Vancouver,0.0,0
C100790,35,Vancouver,0.8,0
C100791,26,Calgary,1.4,0
C100792,32,Montreal,11.0,0
C100793,50,Toronto,6.7,0
C100794,46,Halifax,1.1,0
C100795,28,Halifax,2.3,1
C100796,65,Montreal,35.0,0
C100797,25,Vancouver,9.3,0
C100798,71,Toronto,1.5,0
C100799,45,Toronto,2.1,0
C100800,36,Toronto,0.4,1
C100801,38,Calgary,7.1,0
C100802,43,Toronto,1.7,0
C100803,52,Toronto,7.9,0
C100804,23,Toronto,1.2,0
C100805,32,Toronto,0.0,1
