policy_id,customer_id,coverage_type,vehicle_age,annual_premium,accident_year
P500068,C100068,Collision,9,1947.83,2023
P500069,C100069,Comprehensive,7,1888.41,2022
P500070,C100070,Collision,14,2733.87,2024
P500071,C100071,Collision,11,2005.66,2024
P500072,C100072,Comprehensive,1,1975.65,2022
P500073,C100073,Collision,8,1149.52,2024
P500074,C100074,Collision,11,1688.33,2022
P500075,C100075,Comprehensive,2,3043.19,2022
P500076,C100076,Collision,6,1093.17,2021
P500077,C100077,Liability,2,1030.72,2021
P500078,C100078,Collision,7,1256.23,2021
P500079,C100079,Collision,5,1505.55,2024
P500080,C100080,Comprehensive,5,1926.58,2024
P500081,C100081,Liability,11,1242.64,2023
P500082,C100082,Liability,4,854.37,2022
P500083,C100083,Collision,4,1127.19,2024
P500084,C100084,Comprehensive,4,1649.07,2023
P500085,C100085,Collision,6,1388.39,2024
P500086,C100086,Collision,4,2157.03,2021
P500087,C100087,Collision,3,1572.13,2021
P500088,C100088,Collision,9,1152.11,2022
P500089,C100089,Collision,4,1312.71,2024
P500090,C100090,Collision,5,1434.9,2023
P500091,C100091,Comprehensive,8,2340.73,2022
P500092,C100092,Liability,3,1058.98,2021
P500093,C100093,Liability,2,1125.57,2023
P500094,C100094,Collision,13,1511.05,2023
P500095,C100095,Liability,7,1057.1,2021
P500096,C100096,Collision,5,1674.83,2024
P500097,C100097,Collision,6,946.38,2024
P500098,C100098,Collision,15,2023.28,2023
P500099,C100099,Comprehensive,8,1340.51,2021
P500100,C100100,Comprehensive,0,1472.98,2023
P500101,C100101,Liability,5,1707.62,2023
P500102,C100102,Liability,6,836.12,2024
P500103,C100103,Comprehensive,5,1819.43,2022
P500104,C100104,Liability,1,821.92,2024
P500105,C100105,Comprehensive,2,1643.34,2023
P500106,C100106,Liability,1,1106.16,2021
P500107,C100107,Collision,17,814.87,2024
P500108,C100108,Collision,5,1571.77,2023
P500109,C100109,Collision,6,1684.68,2021
P500110,C100110,Collision,5,1206.26,2023
P500111,C100111,Liability,1,1094.79,2023
P500112,C100112,Liability,3,798.12,2022
P500113,C100113,Collision,3,1748.11,2021
P500114,C100114,Comprehensive,17,2422.36,2024
P500115,C100115,Collision,5,2027.61,2024
P500116,C100116,Collision,3,1538.8,2024
P500117,C100117,Comprehensive,11,2871.29,2023
P500118,C100118,Collision,4,2111.46,2021
P500119,C100119,Collision,2,1548.18,2023
P500120,C100120,Liability,2,1130.32,2024
P500121,C100121,Comprehensive,11,2250.98,2024
P500122,C100122,Liability,4,2432.17,2023
P500123,C100123,Liability,6,1220.9,2022
P500124,C100124,Liability,5,1546.45,2022
P500125,C100125,Liability,9,1295.93,2023
P500126,C100126,Collision,4,1532.54,2024
P500127,C100127,Liability,3,1321.94,2024
P500128,C100128,Collision,2,1282.59,2022
P500129,C100129,Collision,9,998.91,2022
P500130,C100130,Liability,3,1028.72,2024
P500131,C100131,Liability,6,1035.94,2023
P500132,C100132,Collision,12,1713.81,2022
P500133,C100133,Collision,5,1368.55,2021
P500134,C100134,Collision,7,1517.04,2021
P500135,C100135,Liability,3,784.67,2022
P500136,C100136,Liability,4,1047.93,2021
P500137,C100137,Liability,12,655.72,2024
P500138,C100138,Comprehensive,9,1734.97,2023
P500139,C100139,Comprehensive,5,2565.74,2024
P500140,C100140,Collision,5,1235.98,2022
P500141,C100141,Comprehensive,4,1889.9,2024
P500142,C100142,Liability,8,537.41,2022
P500143,C100143,Collision,3,1447.3,2022
P500144,C100144,Collision,8,1715.68,2023
P500145,C100145,Collision,15,2409.64,2023
P500146,C100146,Comprehensive,6,2433.21,2022
P500147,C100147,Collision,2,1099.54,2021
P500148,C100148,Comprehensive,5,1026.78,2021
P500149,C100149,Liability,14,1562.99,2022
P500150,C100150,Liability,5,762.02,2021
P500151,C100151,Collision,2,2330.93,2023
P500152,C100152,Liability,5,1116.05,2022
P500153,C100153,Liability,12,1051.4,2023
P500154,C100154,Liability,3,989.52,2023
P500155,C100155,Collision,13,1611.24,2021
P500156,C100156,Comprehensive,4,2020.05,2022
P500157,C100157,Collision,21,2126.64,2023
P500158,C100158,Collision,4,1049.35,2023
P500159,C100159,Liability,3,831.82,2022
P500160,C100160,Collision,0,1084.34,2022
P500161,C100161,Collision,5,976.61,2023
P500162,C100162,Liability,4,1145.62,2023
P500163,C100163,Collision,14,844.36,2023
P500164,C100164,Liability,10,768.9,2023
P500165,C100165,Collision,12,1154.56,2022
P500166,C100166,Comprehensive,10,1080.77,2024
P500167,C100167,Collision,5,1812.78,2024
P500168,C100168,Comprehensive,25,1395.17,2021
P500169,C100169,Collision,5,2007.97,2024
P500170,C100170,Liability,7,1400.76,2022
P500171,C100171,Collision,17,1377.04,2021
P500172,C100172,Comprehensive,10,2425.47,2023
P500173,C100173,Comprehensive,6,1734.69,2022
P500174,C100174,Collision,8,1454.87,2024
P500175,C100175,Liability,3,919.44,2022
P500176,C100176,Collision,4,775.63,2023
P500177,C100177,Liability,7,1194.45,2021
P500178,C100178,Liability,2,1142.61,2022
P500179,C100179,Liability,3,730.94,2023
P500180,C100180,Liability,1,681.38,2021
P500181,C100181,Collision,5,969.08,2023
P500182,C100182,Comprehensive,6,1746.46,2024
P500183,C100183,Collision,11,1076.17,2022
P500184,C100184,Collision,3,1294.27,2023
P500185,C100185,Comprehensive,4,1319.27,2023
P500186,C100186,Liability,9,1237.93,2024
P500187,C100187,Collision,10,1616.35,2021
P500188,C100188,Comprehensive,10,1743.26,2023
P500189,C100189,Collision,3,1408.19,2023
P500190,C100190,Collision,1,2307.5,2023
P500191,C100191,Comprehensive,6,1788.03,2023
P500192,C100192,Comprehensive,5,1801.96,2024
P500193,C100193,Collision,6,2410.65,2023
P500194,C100194,Collision,7,1737.16,2021
P500195,C100195,Collision,8,1383.66,2023
P500196,C100196,Comprehensive,8,1508.41,2023
P500197,C100197,Comprehensive,4,1840.18,2021
P500198,C100198,Liability,5,791.43,2022
P500199,C100199,Collision,4,1006.83,2021
P500200,C100200,Comprehensive,9,2195.2,2022
P500201,C100201,Collision,2,1326.45,2024
P500202,C100202,Comprehensive,16,1631.1,2024
P500203,C100203,Collision,5,1287.37,2023
P500204,C100204,Collision,5,1258.1,2021
P500205,C100205,Collision,5,1661.7,2023
P500206,C100206,Collision,9,2324.42,2023
P500207,C100207,Collision,6,1056.68,2021
P500208,C100208,Comprehensive,4,1654.38,2023
P500209,C100209,Collision,9,762.93,2023
P500210,C100210,Comprehensive,3,1391.28,2023
P500211,C100211,Liability,10,1156.3,2023
P500212,C100212,Comprehensive,2,2043.64,2021
P500213,C100213,Liability,12,982.27,2022
P500214,C100214,Comprehensive,3,3074.65,2024
P500215,C100215,Comprehensive,2,1882.08,2023
P500216,C100216,Comprehensive,4,1870.73,2024
P500217,C100217,Collision,4,1589.72,2022
P500218,C100218,Liability,7,1137.35,2024
P500219,C100219,Comprehensive,2,1556.56,2023
P500220,C100220,Collision,7,1606.88,2023
P500221,C100221,Liability,4,1339.41,2022
P500222,C100222,Liability,6,1168.38,2024
P500223,C100223,Comprehensive,2,1644.61,2023
P500224,C100224,Comprehensive,5,1578.5,2024
P500225,C100225,Comprehensive,3,1636.31,2022
P500226,C100226,Collision,1,913.13,2024
P500227,C100227,Collision,8,1452.53,2022
P500228,C100228,Comprehensive,3,2037.85,2022
P500229,C100229,Collision,7,1474.44,2024
P500230,C100230,Collision,3,1120.2,2022
P500231,C100231,Comprehensive,5,1083.96,2021
P500232,C100232,Comprehensive,20,2199.06,2023
P500233,C100233,Collision,11,2790.25,2024
P500234,C100234,Collision,15,1709.2,2021
P500235,C100235,Comprehensive,11,1849.06,2024
P500236,C100236,Comprehensive,5,1781.6,2024
P500237,C100237,Liability,9,709.71,2023
P500238,C100238,Comprehensive,5,1147.65,2024
P500239,C100239,Comprehensive,2,1787.45,2021
P500240,C100240,Comprehensive,6,1583.31,2023
P500241,C100241,Collision,1,1399.32,2024
P500242,C100242,Liability,4,981.04,2022
P500243,C100243,Liability,12,1091.02,2024
P500244,C100244,Collision,10,943.43,2023
P500245,C100245,Collision,5,1355.73,2022
P500246,C100246,Comprehensive,15,2577.09,2024
P500247,C100247,Collision,7,1885.13,2022
P500248,C100248,Collision,8,1955.12,2021
P500249,C100249,Liability,4,787.81,2022
P500250,C100250,Comprehensive,9,1396.06,2024
P500251,C100251,Comprehensive,5,2233.0,2023
P500252,C100252,Collision,2,1821.16,2023
P500253,C100253,Liability,7,962.91,2021
P500254,C100254,Liability,5,978.7,2024
P500255,C100255,Collision,5,1178.47,2023
P500256,C100256,Comprehensive,8,2339.54,2021
P500257,C100257,Comprehensive,1,2662.77,2022
P500258,C100258,Comprehensive,3,1558.08,2022
P500259,C100259,Comprehensive,7,1619.31,2023
P500260,C100260,Collision,2,1752.83,2022
P500261,C100261,Liability,3,687.0,2023
P500262,C100262,Collision,9,1682.11,2024
P500263,C100263,Liability,2,614.99,2022
P500264,C100264,Liability,11,1074.61,2024
P500265,C100265,Liability,8,1408.68,2022
P500266,C100266,Liability,8,923.62,2022
P500267,C100267,Liability,2,1092.46,2021
P500268,C100268,Comprehensive,11,1911.52,2023
P500269,C100269,Collision,6,1698.34,2024
P500270,C100270,Collision,15,2151.18,2021
P500271,C100271,Liability,8,1877.16,2024
P500272,C100272,Collision,5,1098.13,2022
P500273,C100273,Comprehensive,2,1759.63,2023
P500274,C100274,Collision,7,875.73,2024
P500275,C100275,Comprehensive,10,2000.49,2023
P500276,C100276,Comprehensive,9,1520.92,2024
P500277,C100277,Comprehensive,2,2369.33,2024
P500278,C100278,Collision,15,1631.11,2022
P500279,C100279,Collision,3,1409.83,2022
P500280,C100280,Liability,10,947.04,2023
P500281,C100281,Comprehensive,3,1272.65,2024
P500282,C100282,Comprehensive,3,2224.72,2024
P500283,C100283,Collision,3,1498.33,2021
P500284,C100284,Liability,3,955.52,2023
P500285,C100285,Liability,2,1058.55,2024
P500286,C100286,Collision,2,1441.85,2022
P500287,C100287,Comprehensive,1,2000.71,2023
P500288,C100288,Liability,1,1425.82,2023
P500289,C100289,Collision,17,1744.91,2023
P500290,C100290,Collision,7,1514.16,2021
P500291,C100291,Liability,5,806.11,2021
P500292,C100292,Liability,6,1124.92,2023
P500293,C100293,Liability,4,1159.4,2024
P500294,C100294,Collision,5,1175.59,2021
P500295,C100295,Liability,4,1525.28,2023
P500296,C100296,Liability,7,881.1,2021
P500297,C100297,Collision,10,1945.02,2024
P500298,C100298,Comprehensive,3,1656.33,2024
P500299,C100299,Collision,2,1530.56,2023
P500300,C100300,Collision,3,1604.34,2023
P500301,C100301,Collision,3,1580.09,2024
P500302,C100302,Comprehensive,8,1657.68,2023
P500303,C100303,Liability,5,810.9,2023
P500304,C100304,Liability,2,1174.11,2023
P500305,C100305,Comprehensive,17,2932.06,2021
P500306,C100306,Collision,1,1304.17,2022
P500307,C100307,Liability,8,1630.72,2023
P500308,C100308,Liability,3,1408.36,2024
P500309,C100309,Comprehensive,4,2125.76,2021
P500310,C100310,Comprehensive,7,1463.42,2022
P500311,C100311,Liability,0,1263.23,2022
P500312,C100312,Collision,7,1883.94,2024
P500313,C100313,Liability,9,1213.01,2022
P500314,C100314,Liability,11,1392.35,2021
P500315,C100315,Liability,3,829.03,2024
P500316,C100316,Liability,8,1159.51,2022
P500317,C100317,Comprehensive,10,1356.52,2024
P500318,C100318,Comprehensive,10,1548.8,2021
P500319,C100319,Liability,6,951.51,2024
P500320,C100320,Collision,11,1091.38,2024
P500321,C100321,Collision,19,1622.72,2022
P500322,C100322,Collision,5,861.05,2021
P500323,C100323,Liability,3,1352.9,2022
P500324,C100324,Liability,6,783.66,2022
P500325,C100325,Collision,4,1439.27,2024
P500326,C100326,Liability,3,1227.29,2021
P500327,C100327,Liability,15,869.71,2021
P500328,C100328,Comprehensive,4,1885.19,2023
P500329,C100329,Collision,4,2307.35,2024
P500330,C100330,Comprehensive,3,2243.19,2021
P500331,C100331,Collision,7,1465.92,2022
P500332,C100332,Liability,8,1102.66,2023
P500333,C100333,Liability,12,1128.51,2022
P500334,C100334,Comprehensive,2,2487.02,2023
P500335,C100335,Liability,12,1003.48,2023
P500336,C100336,Collision,3,1319.2,2023
P500337,C100337,Collision,2,1453.11,2024
P500338,C100338,Comprehensive,5,2188.67,2021
P500339,C100339,Comprehensive,2,1312.76,2021
P500340,C100340,Collision,7,1278.7,2021
P500341,C100341,Liability,3,675.35,2024
P500342,C100342,Liability,9,1457.31,2022
P500343,C100343,Liability,8,1142.22,2022
P500344,C100344,Liability,8,840.04,2022
P500345,C100345,Comprehensive,6,1411.53,2024
P500346,C100346,Collision,6,1759.58,2022
P500347,C100347,Liability,3,910.71,2023
P500348,C100348,Comprehensive,3,1927.31,2021
P500349,C100349,Liability,4,983.61,2024
P500350,C100350,Collision,9,1426.48,2024
P500351,C100351,Liability,7,931.92,2022
P500352,C100352,Collision,4,1851.97,2021
P500353,C100353,Liability,5,1045.01,2022
P500354,C100354,Liability,12,1222.85,2021
P500355,C100355,Comprehensive,0,1931.94,2024
P500356,C100356,Comprehensive,5,1684.66,2024
P500357,C100357,Collision,5,1941.96,2022
P500358,C100358,Comprehensive,3,1957.39,2024
P500359,C100359,Liability,2,778.54,2024
P500360,C100360,Collision,3,1275.01,2024
P500361,C100361,Liability,3,915.16,2021
P500362,C100362,Liability,6,1466.96,2024
P500363,C100363,Collision,3,1469.41,2022
P500364,C100364,Comprehensive,5,1553.04,2024
P500365,C100365,Comprehensive,14,2843.81,2022
P500366,C100366,Collision,2,1788.25,2024
P500367,C100367,Collision,10,1698.58,2022
P500368,C100368,Collision,5,1596.88,2021
P500369,C100369,Comprehensive,1,1488.43,2021
P500370,C100370,Liability,9,1182.23,2022
P500371,C100371,Collision,9,1924.14,2022
P500372,C100372,Comprehensive,2,1911.02,2024
P500373,C100373,Collision,7,2674.73,2021
P500374,C100374,Comprehensive,4,1706.16,2022
P500375,C100375,Collision,6,1240.83,2023
P500376,C100376,Comprehensive,3,1078.56,2024
P500377,C100377,Comprehensive,2,1186.71,2023
P500378,C100378,Collision,2,1501.16,2024
P500379,C100379,Liability,11,1068.31,2024
P500380,C100380,Collision,2,1581.51,2021
P500381,C100381,Liability,7,960.7,2022
P500382,C100382,Liability,2,792.87,2024
P500383,C100383,Collision,19,1278.66,2023
P500384,C100384,Collision,2,1246.06,2024
P500385,C100385,Comprehensive,2,1479.96,2024
P500386,C100386,Liability,12,644.11,2021
P500387,C100387,Liability,4,1140.43,2023
P500388,C100388,Collision,2,1153.56,2024
P500389,C100389,Collision,5,1358.68,2023
P500390,C100390,Collision,3,1448.52,2021
P500391,C100391,Liability,22,753.46,2023
P500392,C100392,Liability,1,977.07,2023
P500393,C100393,Comprehensive,8,1536.49,2023
P500394,C100394,Liability,13,1063.46,2024
P500395,C100395,Collision,8,2119.76,2021
P500396,C100396,Comprehensive,3,1989.31,2022
P500397,C100397,Liability,10,1074.31,2021
P500398,C100398,Comprehensive,6,2423.01,2023
P500399,C100399,Comprehensive,8,2029.32,2021
P500400,C100400,Collision,9,1590.3,2022
P500401,C100401,Comprehensive,2,2018.71,2024
P500402,C100402,Liability,7,1010.71,2021
P500403,C100403,Comprehensive,8,2145.46,2022
P500404,C100404,Liability,5,1123.24,2024
P500405,C100405,Collision,3,1575.74,2024
P500406,C100406,Liability,5,1128.97,2024
P500407,C100407,Collision,15,1413.08,2023
P500408,C100408,Liability,7,959.55,2023
P500409,C100409,Liability,5,1203.6,2023
P500410,C100410,Liability,2,969.02,2023
P500411,C100411,Collision,10,2008.3,2022
P500412,C100412,Liability,7,1264.85,2021
P500413,C100413,Collision,4,1361.51,2024
P500414,C100414,Collision,3,1566.52,2023
P500415,C100415,Collision,2,1669.27,2024
P500416,C100416,Collision,7,2888.53,2023
P500417,C100417,Liability,1,1193.34,2023
P500418,C100418,Liability,8,900.51,2024
P500419,C100419,Comprehensive,1,1925.05,2021
P500420,C100420,Collision,4,1679.65,2022
P500421,C100421,Collision,10,1087.87,2022
P500422,C100422,Liability,1,1045.92,2024
P500423,C100423,Collision,12,1286.65,2021
P500424,C100424,Collision,3,1847.96,2024
P500425,C100425,Collision,5,1601.18,2021
P500426,C100426,Comprehensive,3,1099.19,2024
P500427,C100427,Collision,3,1010.94,2021
P500428,C100428,Comprehensive,2,1782.38,2021
P500429,C100429,Collision,10,1544.12,2024
P500430,C100430,Comprehensive,8,2119.73,2024
P500431,C100431,Comprehensive,2,1706.58,2022
P500432,C100432,Liability,7,805.95,2023
P500433,C100433,Liability,6,1307.86,2021
P500434,C100434,Comprehensive,4,1125.22,2024
P500435,C100435,Collision,7,1900.16,2024
P500436,C100436,Collision,4,2156.84,2024
P500437,C100437,Comprehensive,9,2812.73,2024
P500438,C100438,Liability,3,1334.5,2023
P500439,C100439,Comprehensive,8,1880.35,2022
P500440,C100440,Collision,1,2149.59,2024
P500441,C100441,Comprehensive,5,1364.74,2022
P500442,C100442,Collision,5,905.09,2024
P500443,C100443,Liability,3,752.72,2022
P500444,C100444,Comprehensive,7,2495.39,2023
P500445,C100445,Collision,8,1652.07,2023
P500446,C100446,Comprehensive,3,1556.06,2022
P500447,C100447,Liability,4,1330.3,2022
P500448,C100448,Collision,6,1628.64,2024
P500449,C100449,Comprehensive,1,1053.99,2022
P500450,C100450,Collision,3,1802.01,2023
P500451,C100451,Comprehensive,3,921.34,2023
P500452,C100452,Comprehensive,4,2042.91,2021
P500453,C100453,Collision,9,1364.77,2022
P500454,C100454,Comprehensive,8,2603.35,2022
P500455,C100455,Comprehensive,2,1057.71,2022
P500456,C100456,Comprehensive,5,2833.72,2021
P500457,C100457,Comprehensive,6,1661.81,2021
P500458,C100458,Collision,7,1587.61,2024
P500459,C100459,Comprehensive,2,1273.62,2022
P500460,C100460,Collision,1,1450.18,2024
P500461,C100461,Collision,16,1643.26,2021
P500462,C100462,Comprehensive,3,1560.64,2024
P500463,C100463,Liability,5,763.82,2022
P500464,C100464,Collision,6,1525.5,2023
P500465,C100465,Collision,5,1571.67,2023
P500466,C100466,Liability,5,662.1,2021
P500467,C100467,Comprehensive,6,1960.28,2021
P500468,C100468,Collision,3,813.35,2024
P500469,C100469,Collision,3,1447.21,2022
P500470,C100470,Collision,3,1814.43,2021
P500471,C100471,Collision,7,1604.68,2023
P500472,C100472,Liability,8,1109.49,2021
P500473,C100473,Collision,2,1798.12,2023
P500474,C100474,Liability,3,837.12,2022
P500475,C100475,Comprehensive,7,1663.72,2022
P500476,C100476,Liability,9,1075.12,2021
P500477,C100477,Comprehensive,9,2881.27,2022
P500478,C100478,Liability,3,712.54,2022
P500479,C100479,Liability,7,649.45,2024
P500480,C100480,Comprehensive,14,2946.44,2023
P500481,C100481,Collision,3,826.17,2024
P500482,C100482,Collision,8,1867.05,2021
P500483,C100483,Collision,5,1458.41,2023
P500484,C100484,Liability,18,781.16,2022
P500485,C100485,Liability,1,930.45,2023
P500486,C100486,Liability,6,1290.66,2021
P500487,C100487,Liability,12,892.68,2022
P500488,C100488,Liability,2,1047.92,2023
P500489,C100489,Collision,8,2125.69,2024
P500490,C100490,Comprehensive,4,1505.73,2023
P500491,C100491,Collision,1,1250.67,2022
P500492,C100492,Collision,3,1562.13,2022
P500493,C100493,Liability,2,1008.57,2023
P500494,C100494,Comprehensive,10,1311.56,2023
P500495,C100495,Liability,18,1100.98,2024
P500496,C100496,Collision,4,1358.19,2024
P500497,C100497,Comprehensive,3,1618.76,2021
P500498,C100498,Collision,1,1599.15,2024
P500499,C100499,Collision,9,1744.59,2023
P500500,C100500,Comprehensive,13,2225.92,2022
P500501,C100501,Liability,7,1267.02,2021
P500502,C100502,Collision,3,1438.0,2023
P500503,C100503,Collision,6,1335.1,2023
P500504,C100504,Comprehensive,9,2110.07,2024
P500505,C100505,Comprehensive,5,1849.95,2022
P500506,C100506,Collision,8,1224.65,2023
P500507,C100507,Collision,4,2320.68,2023
P500508,C100508,Collision,2,1263.28,2024
P500509,C100509,Comprehensive,9,2433.28,2024
P500510,C100510,Collision,6,1542.31,2024
P500511,C100511,Liability,6,1080.31,2022
P500512,C100512,Comprehensive,10,2333.35,2023
P500513,C100513,Comprehensive,3,1307.97,2023
P500514,C100514,Liability,4,1829.98,2024
P500515,C100515,Collision,13,2009.49,2023
P500516,C100516,Comprehensive,6,1877.5,2021
P500517,C100517,Liability,9,1037.21,2024
P500518,C100518,Comprehensive,5,2539.01,2022
P500519,C100519,Liability,8,1231.13,2023
P500520,C100520,Collision,8,1565.92,2024
P500521,C100521,Comprehensive,3,2158.58,2024
P500522,C100522,Comprehensive,19,1606.49,2024
P500523,C100523,Liability,6,1044.49,2022
P500524,C100524,Comprehensive,1,1277.0,2021
P500525,C100525,Collision,2,1625.35,2024
P500526,C100526,Comprehensive,4,2394.15,2021
P500527,C100527,Collision,1,1144.14,2021
P500528,C100528,Comprehensive,12,2654.29,2024
P500529,C100529,Comprehensive,3,1971.49,2022
P500530,C100530,Comprehensive,2,1169.42,2021
P500531,C100531,Collision,7,1023.65,2023
P500532,C100532,Collision,8,1579.34,2022
P500533,C100533,Liability,4,1039.69,2022
P500534,C100534,Liability,8,1076.32,2023
P500535,C100535,Comprehensive,9,1200.4,2024
P500536,C100536,Collision,4,1848.79,2021
P500537,C100537,Collision,2,1752.49,2022
P500538,C100538,Collision,3,1430.66,2024
P500539,C100539,Comprehensive,4,1982.75,2021
P500540,C100540,Collision,5,1276.83,2024
P500541,C100541,Comprehensive,9,2236.93,2022
P500542,C100542,Liability,4,784.15,2023
P500543,C100543,Liability,3,931.15,2021
P500544,C100544,Liability,3,1297.65,2022
P500545,C100545,Liability,6,888.75,2023
P500546,C100546,Collision,6,1681.28,2024
P500547,C100547,Comprehensive,14,2301.4,2022
P500548,C100548,Collision,4,1374.59,2024
P500549,C100549,Comprehensive,3,1134.79,2021
P500550,C100550,Comprehensive,1,1772.87,2021
P500551,C100551,Comprehensive,1,1580.31,2024
P500552,C100552,Collision,7,1439.55,2023
P500553,C100553,Collision,3,964.1,2021
P500554,C100554,Collision,11,1899.64,2021
P500555,C100555,Liability,1,1131.81,2024
P500556,C100556,Liability,4,1118.82,2021
P500557,C100557,Liability,9,1712.64,2023
P500558,C100558,Collision,12,1325.31,2024
P500559,C100559,Liability,8,862.65,2023
P500560,C100560,Collision,10,1641.18,2024
P500561,C100561,Comprehensive,3,1477.02,2021
P500562,C100562,Collision,4,933.96,2022
P500563,C100563,Collision,12,1096.96,2021
P500564,C100564,Collision,2,1380.95,2022
P500565,C100565,Collision,5,2511.5,2024
P500566,C100566,Liability,8,1180.37,2024
P500567,C100567,Collision,11,1496.68,2021
P500568,C100568,Liability,5,600.61,2022
P500569,C100569,Collision,4,1519.54,2022
P500570,C100570,Collision,7,1751.4,2022
P500571,C100571,Collision,15,2058.17,2021
P500572,C100572,Comprehensive,7,2421.61,2024
P500573,C100573,Liability,7,1191.02,2024
P500574,C100574,Collision,5,956.83,2021
P500575,C100575,Liability,3,1045.81,2024
P500576,C100576,Comprehensive,4,1752.79,2024
P500577,C100577,Liability,5,1275.87,2022
P500578,C100578,Collision,4,1621.04,2023
P500579,C100579,Collision,5,1435.8,2023
P500580,C100580,Comprehensive,7,2044.99,2021
P500581,C100581,Collision,3,1425.88,2021
P500582,C100582,Collision,9,1616.68,2023
P500583,C100583,Collision,7,2102.93,2021
P500584,C100584,Comprehensive,5,2326.99,2024
P500585,C100585,Liability,4,1082.46,2023
P500586,C100586,Liability,2,1338.01,2023
P500587,C100587,Liability,7,1183.48,2023
P500588,C100588,Collision,19,2858.92,2023
P500589,C100589,Collision,12,1512.42,2024
P500590,C100590,Comprehensive,8,1650.33,2023
P500591,C100591,Collision,12,1663.75,2022
P500592,C100592,Liability,3,517.55,2023
P500593,C100593,Collision,3,1702.13,2022
P500594,C100594,Collision,5,1219.46,2024
P500595,C100595,Collision,5,1508.71,2022
P500596,C100596,Collision,11,1078.52,2022
P500597,C100597,Collision,9,908.03,2021
P500598,C100598,Comprehensive,1,1891.23,2022
P500599,C100599,Liability,9,1500.49,2023
P500600,C100600,Comprehensive,4,1277.19,2021
P500601,C100601,Comprehensive,6,1200.84,2024
P500602,C100602,Liability,5,574.76,2023
P500603,C100603,Comprehensive,3,1795.87,2024
P500604,C100604,Liability,6,1247.44,2021
P500605,C100605,Collision,3,1448.51,2022
P500606,C100606,Collision,5,1227.93,2022
P500607,C100607,Liability,3,1732.14,2023
P500608,C100608,Collision,2,1703.83,2023
P500609,C100609,Collision,19,2579.75,2022
P500610,C100610,Liability,4,1113.65,2024
P500611,C100611,Collision,5,1270.17,2023
P500612,C100612,Collision,11,1468.52,2022
P500613,C100613,Liability,6,811.28,2024
